City,Time,Quality,Error
Atlanta,0.04,2062854,0.02949
berlin52,0.08,8185,0.085256
Boston,0.11,950225,0.063443
Champaign,0.14,53510,0.016469
Cincinnati,0.01,280496,0.009153
Denver,0.41,108220,0.077556
NYC,0.4,1665711,0.071155
Philadelphia,0.05,1468010,0.051597
Roanoke,3.82,701551,0.070328
SanFrancisco,0.51,912140,0.125826
Toronto,0.98,1298456,0.103987
UKansasState,0.01,66486,0.05597
ulysses16,0.01,6980,0.017641
UMissouri,0.45,144671,0.090137
