City,Time,Quality,Error
Atlanta,0.07,2003763,0.0
berlin52,4.12,7866,0.042959
Boston,1.8,899550,0.006731
Champaign,4.22,52657,0.000266
Cincinnati,0.01,277952,0.0
Denver,21.83,103965,0.035188
NYC,7.54,1577064,0.01415
Philadelphia,0.18,1404001,0.005745
Roanoke,336.9,663187,0.011798
SanFrancisco,48.27,816288,0.007519
Toronto,23.38,1205327,0.024806
UKansasState,0.01,62962,0.0
ulysses16,0.03,6875,0.002333
UMissouri,149.21,135844,0.023623
