City,Time,Quality,Error
Atlanta,533.41,2210431,0.10314
berlin52,591.15,18242,1.418722
Boston,561.46,1485021,0.66196
Champaign,145.73,192901,2.664324
Cincinnati,0.53,277952,0.0
Denver,591.47,513731,4.115263
NYC,192.76,7133569,3.587327
Philadelphia,514.02,2908239,1.083294
Roanoke,547.04,6860977,9.467519
SanFrancisco,504.78,5070796,5.258728
Toronto,165.58,8882962,6.552569
UKansasState,0.02,67565,0.073108
ulysses16,207.34,7037,0.025951
UMissouri,346.61,607560,3.578137
