City,Time,Quality,Error
Atlanta,0.61,2003763,0.0
berlin52,27.21,7596,0.00716
Boston,211.11,894159,0.000697
Champaign,205.89,52789,0.002773
Cincinnati,0.04,277952,0.0
Denver,78.44,102622,0.021816
NYC,209.11,1578067,0.014795
Philadelphia,4.01,1395981,0.0
Roanoke,595.95,2008604,2.064447
SanFrancisco,230.74,837995,0.034311
Toronto,599.31,1204381,0.024002
UKansasState,0.0,62962,0.0
ulysses16,0.11,6859,0.0
UMissouri,513.99,139399,0.050411
